Source,Target,Type,Id,Label,timeset,Weight
ENSG00000172818,ENSG00000276097,Directed,131,,,1
ENSG00000172818,ENSG00000254813,Directed,132,,,1
ENSG00000172818,ENSG00000144045,Directed,133,,,1
ENSG00000172818,ENSG00000175485,Directed,134,,,1
ENSG00000172818,ENSG00000213822,Directed,135,,,1
ENSG00000172818,ENSG00000174576,Directed,136,,,1
ENSG00000172818,ENSG00000238121,Directed,137,,,1
ENSG00000172818,ENSG00000141371,Directed,138,,,1
ENSG00000172818,ENSG00000065609,Directed,139,,,1
ENSG00000172818,ENSG00000122756,Directed,140,,,1
ENSG00000172818,ENSG00000113578,Directed,141,,,1
ENSG00000172818,ENSG00000003137,Directed,142,,,1
ENSG00000172818,ENSG00000162383,Directed,143,,,1
ENSG00000172818,ENSG00000177324,Directed,144,,,1
ENSG00000172818,ENSG00000232613,Directed,145,,,1
ENSG00000172818,ENSG00000249695,Directed,146,,,1
ENSG00000172818,ENSG00000108511,Directed,147,,,1
ENSG00000172818,ENSG00000257495,Directed,148,,,1
ENSG00000172818,ENSG00000226791,Directed,149,,,1
ENSG00000172818,ENSG00000215182,Directed,150,,,1
ENSG00000172818,ENSG00000141665,Directed,151,,,1
ENSG00000172818,ENSG00000115602,Directed,152,,,1
ENSG00000172818,ENSG00000229495,Directed,153,,,1
ENSG00000172818,ENSG00000258498,Directed,154,,,1
ENSG00000172818,ENSG00000254622,Directed,155,,,1
ENSG00000172818,ENSG00000143603,Directed,156,,,1
ENSG00000172818,ENSG00000161640,Directed,157,,,1
ENSG00000172818,ENSG00000257173,Directed,158,,,1
ENSG00000172818,ENSG00000105357,Directed,159,,,1
ENSG00000172818,ENSG00000224582,Directed,160,,,1
ENSG00000172818,ENSG00000185737,Directed,161,,,1
ENSG00000172818,ENSG00000180251,Directed,162,,,1
ENSG00000172818,ENSG00000186143,Directed,163,,,1
ENSG00000172818,ENSG00000115648,Directed,164,,,1
ENSG00000172818,ENSG00000183638,Directed,165,,,1
ENSG00000172818,ENSG00000092621,Directed,166,,,1
ENSG00000172818,ENSG00000188257,Directed,167,,,1
ENSG00000172818,ENSG00000189377,Directed,168,,,1
ENSG00000172818,ENSG00000188227,Directed,169,,,1
ENSG00000172818,ENSG00000124440,Directed,170,,,1
ENSG00000172818,ENSG00000224049,Directed,171,,,1
ENSG00000172818,ENSG00000169083,Directed,172,,,1
ENSG00000172818,ENSG00000211772,Directed,173,,,1
ENSG00000172818,ENSG00000226125,Directed,174,,,1
ENSG00000172818,ENSG00000231814,Directed,175,,,1
ENSG00000172818,ENSG00000167580,Directed,176,,,1
ENSG00000115816,ENSG00000169683,Directed,177,,,1
ENSG00000115816,ENSG00000269473,Directed,178,,,1
ENSG00000115816,ENSG00000268087,Directed,179,,,1
ENSG00000115816,ENSG00000116285,Directed,180,,,1
ENSG00000115816,ENSG00000105649,Directed,181,,,1
ENSG00000115816,ENSG00000141504,Directed,182,,,1
ENSG00000115816,ENSG00000005882,Directed,183,,,1
ENSG00000115816,ENSG00000133247,Directed,184,,,1
ENSG00000115816,ENSG00000161558,Directed,185,,,1
ENSG00000115816,ENSG00000270164,Directed,186,,,1
ENSG00000115816,ENSG00000189266,Directed,187,,,1
ENSG00000115816,ENSG00000125434,Directed,188,,,1
ENSG00000115816,ENSG00000215883,Directed,189,,,1
ENSG00000115816,ENSG00000139405,Directed,190,,,1
ENSG00000115816,ENSG00000008382,Directed,191,,,1
ENSG00000115816,ENSG00000107882,Directed,192,,,1
ENSG00000115816,ENSG00000173456,Directed,193,,,1
ENSG00000115816,ENSG00000123933,Directed,194,,,1
ENSG00000115816,ENSG00000196550,Directed,195,,,1
ENSG00000115816,ENSG00000196961,Directed,196,,,1
ENSG00000115816,ENSG00000165171,Directed,197,,,1
ENSG00000115816,ENSG00000181035,Directed,198,,,1
ENSG00000115816,ENSG00000136856,Directed,199,,,1
ENSG00000115816,ENSG00000138111,Directed,200,,,1
ENSG00000115816,ENSG00000196092,Directed,201,,,1
ENSG00000115816,ENSG00000155229,Directed,202,,,1
ENSG00000115816,ENSG00000184545,Directed,203,,,1
ENSG00000115816,ENSG00000159423,Directed,204,,,1
ENSG00000115816,ENSG00000064687,Directed,205,,,1
ENSG00000115816,ENSG00000143457,Directed,206,,,1
ENSG00000115816,ENSG00000123179,Directed,207,,,1
ENSG00000115816,ENSG00000280739,Directed,208,,,1
ENSG00000115816,ENSG00000105204,Directed,209,,,1
ENSG00000115816,ENSG00000160957,Directed,210,,,1
ENSG00000115816,ENSG00000110046,Directed,211,,,1
ENSG00000115816,ENSG00000156256,Directed,212,,,1
ENSG00000115816,ENSG00000136870,Directed,213,,,1
ENSG00000115816,ENSG00000170956,Directed,214,,,1
ENSG00000115816,ENSG00000081320,Directed,215,,,1
ENSG00000115816,ENSG00000101417,Directed,216,,,1
ENSG00000115816,ENSG00000131203,Directed,217,,,1
ENSG00000115816,ENSG00000186862,Directed,218,,,1
ENSG00000115816,ENSG00000120129,Directed,219,,,1
ENSG00000115816,ENSG00000261449,Directed,220,,,1
ENSG00000115816,ENSG00000279500,Directed,221,,,1
ENSG00000115816,ENSG00000141034,Directed,222,,,1
ENSG00000115816,ENSG00000235586,Directed,223,,,1
ENSG00000115816,ENSG00000137054,Directed,224,,,1
ENSG00000115816,ENSG00000151502,Directed,225,,,1
ENSG00000115816,ENSG00000091527,Directed,226,,,1
ENSG00000115816,ENSG00000115687,Directed,227,,,1
ENSG00000115816,ENSG00000253838,Directed,228,,,1
ENSG00000115816,ENSG00000143889,Directed,229,,,1
ENSG00000115816,ENSG00000146083,Directed,230,,,1
ENSG00000115816,ENSG00000215790,Directed,231,,,1
ENSG00000115816,ENSG00000010295,Directed,232,,,1
ENSG00000115816,ENSG00000177728,Directed,233,,,1
ENSG00000115816,ENSG00000143367,Directed,234,,,1
ENSG00000115816,ENSG00000237037,Directed,235,,,1
ENSG00000115816,ENSG00000160298,Directed,236,,,1
ENSG00000115816,ENSG00000233108,Directed,237,,,1
ENSG00000115816,ENSG00000160094,Directed,238,,,1
ENSG00000115816,ENSG00000047056,Directed,239,,,1
ENSG00000115816,ENSG00000089060,Directed,240,,,1
ENSG00000115816,ENSG00000181061,Directed,241,,,1
ENSG00000115816,ENSG00000139318,Directed,242,,,1
ENSG00000115816,ENSG00000067113,Directed,243,,,1
ENSG00000115816,ENSG00000131849,Directed,244,,,1
ENSG00000122877,ENSG00000277855,Directed,245,,,1
